time,subject,fuzzer,run,cov_type,cov
1757770197,live555,aflnet,1,b_abs,1032.0
1757772695,live555,aflnet,1,b_abs,1032.0
1757775199,live555,aflnet,1,b_abs,1034.0
1757775701,live555,aflnet,1,b_abs,1034.0
1757778205,live555,aflnet,1,b_abs,1034.0
1757778706,live555,aflnet,1,b_abs,1035.0
1757781212,live555,aflnet,1,b_abs,1035.0
1757770197,live555,aflnet,1,b_abs,1035.0
1757772695,live555,aflnet,1,b_abs,1035.0
1757775199,live555,aflnet,1,b_abs,1035.0
1757775701,live555,aflnet,1,b_abs,1036.0
1757778205,live555,aflnet,1,b_abs,1036.0
1757778706,live555,aflnet,1,b_abs,1036.0
1757781212,live555,aflnet,1,b_abs,1036.0
1757781279,live555,aflnet,1,b_abs,1051.0
1757783853,live555,aflnet,1,b_abs,1071.0
1757786431,live555,aflnet,1,b_abs,1073.0
1757787060,live555,aflnet,1,b_abs,1076.0
1757789639,live555,aflnet,1,b_abs,1076.0
1757790206,live555,aflnet,1,b_abs,1076.0
1757790772,live555,aflnet,1,b_abs,1082.0
1757791339,live555,aflnet,1,b_abs,1084.0
1757791906,live555,aflnet,1,b_abs,1084.0
1757792473,live555,aflnet,1,b_abs,1084.0
1757793103,live555,aflnet,1,b_abs,1084.0
1757795688,live555,aflnet,1,b_abs,1084.0
1757796256,live555,aflnet,1,b_abs,1085.0
1757796825,live555,aflnet,1,b_abs,1086.0
1757797394,live555,aflnet,1,b_abs,1086.0
1757797963,live555,aflnet,1,b_abs,1086.0
1757798594,live555,aflnet,1,b_abs,1087.0
1757799164,live555,aflnet,1,b_abs,1087.0
1757801758,live555,aflnet,1,b_abs,1087.0
1757802327,live555,aflnet,1,b_abs,1090.0
1757802897,live555,aflnet,1,b_abs,1090.0
1757803530,live555,aflnet,1,b_abs,1090.0
1757806187,live555,aflnet,1,b_abs,1090.0
1757806757,live555,aflnet,1,b_abs,1090.0
1757807328,live555,aflnet,1,b_abs,1090.0
1757807961,live555,aflnet,1,b_abs,1090.0
1757810563,live555,aflnet,1,b_abs,1090.0
1757811261,live555,aflnet,1,b_abs,1090.0
1757811833,live555,aflnet,1,b_abs,1090.0
1757812404,live555,aflnet,1,b_abs,1090.0
1757812976,live555,aflnet,1,b_abs,1090.0
1757813548,live555,aflnet,1,b_abs,1090.0
1757814247,live555,aflnet,1,b_abs,1090.0
1757817173,live555,aflnet,1,b_abs,1090.0
1757817808,live555,aflnet,1,b_abs,1090.0
1757818444,live555,aflnet,1,b_abs,1090.0
1757819080,live555,aflnet,1,b_abs,1090.0
1757819716,live555,aflnet,1,b_abs,1090.0
1757820289,live555,aflnet,1,b_abs,1090.0
1757820926,live555,aflnet,1,b_abs,1090.0
1757821498,live555,aflnet,1,b_abs,1091.0
1757822072,live555,aflnet,1,b_abs,1091.0
1757822645,live555,aflnet,1,b_abs,1091.0
1757823218,live555,aflnet,1,b_abs,1091.0
1757823918,live555,aflnet,1,b_abs,1091.0
1757826531,live555,aflnet,1,b_abs,1091.0
1757827105,live555,aflnet,1,b_abs,1091.0
1757827742,live555,aflnet,1,b_abs,1091.0
1757828316,live555,aflnet,1,b_abs,1092.0
1757828890,live555,aflnet,1,b_abs,1092.0
1757829463,live555,aflnet,1,b_abs,1092.0
1757830164,live555,aflnet,1,b_abs,1092.0
1757830739,live555,aflnet,1,b_abs,1092.0
1757831313,live555,aflnet,1,b_abs,1092.0
1757831887,live555,aflnet,1,b_abs,1092.0
1757832524,live555,aflnet,1,b_abs,1092.0
1757833226,live555,aflnet,1,b_abs,1092.0
1757833861,live555,aflnet,1,b_abs,1092.0
1757834500,live555,aflnet,1,b_abs,1093.0
1757835265,live555,aflnet,1,b_abs,1093.0
1757836219,live555,aflnet,1,b_abs,1093.0
1757836792,live555,aflnet,1,b_abs,1093.0
1757837428,live555,aflnet,1,b_abs,1093.0
