time,subject,fuzzer,run,cov_type,cov
1756232366,pureftpd,aflnet,1,b_abs,377.0
1756232368,pureftpd,aflnet,1,b_abs,429.0
1756232372,pureftpd,aflnet,1,b_abs,504.0
1756232372,pureftpd,aflnet,1,b_abs,510.0
1756232366,pureftpd,aflnet,1,b_abs,510.0
1756232368,pureftpd,aflnet,1,b_abs,511.0
1756232372,pureftpd,aflnet,1,b_abs,511.0
1756232372,pureftpd,aflnet,1,b_abs,511.0
1756232376,pureftpd,aflnet,1,b_abs,515.0
1756232380,pureftpd,aflnet,1,b_abs,518.0
1756232382,pureftpd,aflnet,1,b_abs,518.0
1756232382,pureftpd,aflnet,1,b_abs,519.0
1756232383,pureftpd,aflnet,1,b_abs,519.0
1756232384,pureftpd,aflnet,1,b_abs,519.0
1756232385,pureftpd,aflnet,1,b_abs,520.0
1756232387,pureftpd,aflnet,1,b_abs,520.0
1756232388,pureftpd,aflnet,1,b_abs,520.0
1756232388,pureftpd,aflnet,1,b_abs,520.0
1756232391,pureftpd,aflnet,1,b_abs,520.0
1756232392,pureftpd,aflnet,1,b_abs,520.0
1756232394,pureftpd,aflnet,1,b_abs,520.0
1756232395,pureftpd,aflnet,1,b_abs,520.0
1756232396,pureftpd,aflnet,1,b_abs,520.0
1756232399,pureftpd,aflnet,1,b_abs,520.0
1756232400,pureftpd,aflnet,1,b_abs,520.0
1756232401,pureftpd,aflnet,1,b_abs,520.0
1756232409,pureftpd,aflnet,1,b_abs,520.0
1756232411,pureftpd,aflnet,1,b_abs,520.0
1756232417,pureftpd,aflnet,1,b_abs,520.0
1756232417,pureftpd,aflnet,1,b_abs,520.0
1756232423,pureftpd,aflnet,1,b_abs,520.0
1756232426,pureftpd,aflnet,1,b_abs,520.0
1756232427,pureftpd,aflnet,1,b_abs,520.0
1756232435,pureftpd,aflnet,1,b_abs,520.0
1756232442,pureftpd,aflnet,1,b_abs,520.0
1756232455,pureftpd,aflnet,1,b_abs,520.0
1756232458,pureftpd,aflnet,1,b_abs,520.0
1756232464,pureftpd,aflnet,1,b_abs,520.0
1756232471,pureftpd,aflnet,1,b_abs,520.0
1756232474,pureftpd,aflnet,1,b_abs,525.0
1756232478,pureftpd,aflnet,1,b_abs,525.0
1756232481,pureftpd,aflnet,1,b_abs,525.0
1756232482,pureftpd,aflnet,1,b_abs,525.0
1756232484,pureftpd,aflnet,1,b_abs,525.0
1756232486,pureftpd,aflnet,1,b_abs,525.0
1756232487,pureftpd,aflnet,1,b_abs,525.0
1756232487,pureftpd,aflnet,1,b_abs,525.0
1756232490,pureftpd,aflnet,1,b_abs,525.0
1756232496,pureftpd,aflnet,1,b_abs,525.0
1756232498,pureftpd,aflnet,1,b_abs,525.0
1756232501,pureftpd,aflnet,1,b_abs,525.0
1756232504,pureftpd,aflnet,1,b_abs,525.0
1756232506,pureftpd,aflnet,1,b_abs,525.0
1756232515,pureftpd,aflnet,1,b_abs,531.0
1756232521,pureftpd,aflnet,1,b_abs,531.0
1756232524,pureftpd,aflnet,1,b_abs,531.0
1756232536,pureftpd,aflnet,1,b_abs,531.0
1756232538,pureftpd,aflnet,1,b_abs,531.0
1756232541,pureftpd,aflnet,1,b_abs,531.0
1756232542,pureftpd,aflnet,1,b_abs,531.0
1756232544,pureftpd,aflnet,1,b_abs,531.0
1756232551,pureftpd,aflnet,1,b_abs,531.0
1756232556,pureftpd,aflnet,1,b_abs,531.0
1756232561,pureftpd,aflnet,1,b_abs,531.0
1756232563,pureftpd,aflnet,1,b_abs,531.0
1756232567,pureftpd,aflnet,1,b_abs,531.0
1756232570,pureftpd,aflnet,1,b_abs,531.0
1756232575,pureftpd,aflnet,1,b_abs,531.0
1756232578,pureftpd,aflnet,1,b_abs,531.0
1756232590,pureftpd,aflnet,1,b_abs,531.0
1756232593,pureftpd,aflnet,1,b_abs,531.0
1756232600,pureftpd,aflnet,1,b_abs,531.0
1756232633,pureftpd,aflnet,1,b_abs,532.0
1756232635,pureftpd,aflnet,1,b_abs,532.0
1756232638,pureftpd,aflnet,1,b_abs,532.0
1756232669,pureftpd,aflnet,1,b_abs,532.0
1756232670,pureftpd,aflnet,1,b_abs,533.0
1756232671,pureftpd,aflnet,1,b_abs,533.0
1756232674,pureftpd,aflnet,1,b_abs,533.0
1756232678,pureftpd,aflnet,1,b_abs,533.0
1756232681,pureftpd,aflnet,1,b_abs,533.0
1756232684,pureftpd,aflnet,1,b_abs,533.0
1756232688,pureftpd,aflnet,1,b_abs,533.0
1756232690,pureftpd,aflnet,1,b_abs,533.0
1756232690,pureftpd,aflnet,1,b_abs,533.0
1756232701,pureftpd,aflnet,1,b_abs,533.0
1756232707,pureftpd,aflnet,1,b_abs,533.0
1756232708,pureftpd,aflnet,1,b_abs,533.0
1756232723,pureftpd,aflnet,1,b_abs,533.0
1756232754,pureftpd,aflnet,1,b_abs,533.0
1756232754,pureftpd,aflnet,1,b_abs,535.0
1756232773,pureftpd,aflnet,1,b_abs,535.0
1756232790,pureftpd,aflnet,1,b_abs,535.0
1756232793,pureftpd,aflnet,1,b_abs,535.0
1756232796,pureftpd,aflnet,1,b_abs,535.0
1756232807,pureftpd,aflnet,1,b_abs,535.0
1756232808,pureftpd,aflnet,1,b_abs,535.0
1756232811,pureftpd,aflnet,1,b_abs,535.0
1756232813,pureftpd,aflnet,1,b_abs,535.0
1756232816,pureftpd,aflnet,1,b_abs,535.0
1756232822,pureftpd,aflnet,1,b_abs,535.0
1756232826,pureftpd,aflnet,1,b_abs,535.0
1756232828,pureftpd,aflnet,1,b_abs,535.0
1756232830,pureftpd,aflnet,1,b_abs,535.0
1756232833,pureftpd,aflnet,1,b_abs,535.0
1756232840,pureftpd,aflnet,1,b_abs,535.0
1756232858,pureftpd,aflnet,1,b_abs,535.0
1756232876,pureftpd,aflnet,1,b_abs,535.0
1756232876,pureftpd,aflnet,1,b_abs,535.0
1756232881,pureftpd,aflnet,1,b_abs,535.0
1756232882,pureftpd,aflnet,1,b_abs,535.0
1756232924,pureftpd,aflnet,1,b_abs,535.0
1756232925,pureftpd,aflnet,1,b_abs,535.0
1756232943,pureftpd,aflnet,1,b_abs,535.0
1756232963,pureftpd,aflnet,1,b_abs,535.0
1756232973,pureftpd,aflnet,1,b_abs,535.0
1756232984,pureftpd,aflnet,1,b_abs,535.0
1756233031,pureftpd,aflnet,1,b_abs,535.0
1756233049,pureftpd,aflnet,1,b_abs,543.0
1756233050,pureftpd,aflnet,1,b_abs,543.0
1756233063,pureftpd,aflnet,1,b_abs,543.0
1756233068,pureftpd,aflnet,1,b_abs,543.0
1756233080,pureftpd,aflnet,1,b_abs,543.0
1756233153,pureftpd,aflnet,1,b_abs,546.0
1756233226,pureftpd,aflnet,1,b_abs,556.0
1756233253,pureftpd,aflnet,1,b_abs,556.0
1756233278,pureftpd,aflnet,1,b_abs,556.0
1756233311,pureftpd,aflnet,1,b_abs,556.0
1756233348,pureftpd,aflnet,1,b_abs,560.0
1756233420,pureftpd,aflnet,1,b_abs,560.0
1756233424,pureftpd,aflnet,1,b_abs,560.0
1756233431,pureftpd,aflnet,1,b_abs,561.0
1756233449,pureftpd,aflnet,1,b_abs,561.0
1756233450,pureftpd,aflnet,1,b_abs,561.0
1756233457,pureftpd,aflnet,1,b_abs,561.0
1756233462,pureftpd,aflnet,1,b_abs,561.0
1756233480,pureftpd,aflnet,1,b_abs,563.0
1756233484,pureftpd,aflnet,1,b_abs,563.0
1756233553,pureftpd,aflnet,1,b_abs,563.0
1756233580,pureftpd,aflnet,1,b_abs,563.0
1756233621,pureftpd,aflnet,1,b_abs,566.0
1756233622,pureftpd,aflnet,1,b_abs,566.0
1756233633,pureftpd,aflnet,1,b_abs,566.0
1756233634,pureftpd,aflnet,1,b_abs,567.0
1756233638,pureftpd,aflnet,1,b_abs,567.0
1756233640,pureftpd,aflnet,1,b_abs,567.0
1756233664,pureftpd,aflnet,1,b_abs,569.0
1756233695,pureftpd,aflnet,1,b_abs,569.0
1756233733,pureftpd,aflnet,1,b_abs,569.0
1756233773,pureftpd,aflnet,1,b_abs,569.0
1756233805,pureftpd,aflnet,1,b_abs,575.0
1756233841,pureftpd,aflnet,1,b_abs,575.0
1756233878,pureftpd,aflnet,1,b_abs,575.0
1756233880,pureftpd,aflnet,1,b_abs,575.0
1756233906,pureftpd,aflnet,1,b_abs,575.0
1756233909,pureftpd,aflnet,1,b_abs,577.0
1756233938,pureftpd,aflnet,1,b_abs,577.0
1756233946,pureftpd,aflnet,1,b_abs,577.0
1756233954,pureftpd,aflnet,1,b_abs,577.0
1756233965,pureftpd,aflnet,1,b_abs,577.0
