protocol,tool,run,time_hour,coverage
Forked-daapd,AFLNET,1,0,5
Forked-daapd,AFLNET,1,1,133
Forked-daapd,AFLNET,1,2,238
Forked-daapd,AFLNET,1,3,330
Forked-daapd,AFLNET,1,4,388
Forked-daapd,AFLNET,1,5,433
Forked-daapd,AFLNET,1,6,486
Forked-daapd,AFLNET,1,7,523
Forked-daapd,AFLNET,1,8,542
Forked-daapd,AFLNET,1,9,566
Forked-daapd,AFLNET,1,10,577
Forked-daapd,AFLNET,1,11,585
Forked-daapd,AFLNET,1,12,597
Forked-daapd,AFLNET,1,13,597
Forked-daapd,AFLNET,1,14,597
Forked-daapd,AFLNET,1,15,597
Forked-daapd,AFLNET,1,16,597
Forked-daapd,AFLNET,1,17,605
Forked-daapd,AFLNET,1,18,605
Forked-daapd,AFLNET,1,19,605
Forked-daapd,AFLNET,1,20,622
Forked-daapd,AFLNET,1,21,623
Forked-daapd,AFLNET,1,22,626
Forked-daapd,AFLNET,1,23,626
Forked-daapd,AFLNET,1,24,626
Forked-daapd,AFLNET,2,0,1
Forked-daapd,AFLNET,2,1,119
Forked-daapd,AFLNET,2,2,222
Forked-daapd,AFLNET,2,3,292
Forked-daapd,AFLNET,2,4,349
Forked-daapd,AFLNET,2,5,391
Forked-daapd,AFLNET,2,6,446
Forked-daapd,AFLNET,2,7,476
Forked-daapd,AFLNET,2,8,489
Forked-daapd,AFLNET,2,9,516
Forked-daapd,AFLNET,2,10,519
Forked-daapd,AFLNET,2,11,533
Forked-daapd,AFLNET,2,12,533
Forked-daapd,AFLNET,2,13,533
Forked-daapd,AFLNET,2,14,542
Forked-daapd,AFLNET,2,15,556
Forked-daapd,AFLNET,2,16,562
Forked-daapd,AFLNET,2,17,565
Forked-daapd,AFLNET,2,18,566
Forked-daapd,AFLNET,2,19,566
Forked-daapd,AFLNET,2,20,566
Forked-daapd,AFLNET,2,21,566
Forked-daapd,AFLNET,2,22,579
Forked-daapd,AFLNET,2,23,584
Forked-daapd,AFLNET,2,24,584
Forked-daapd,AFLNET,3,0,3
Forked-daapd,AFLNET,3,1,129
Forked-daapd,AFLNET,3,2,221
Forked-daapd,AFLNET,3,3,304
Forked-daapd,AFLNET,3,4,374
Forked-daapd,AFLNET,3,5,431
Forked-daapd,AFLNET,3,6,459
Forked-daapd,AFLNET,3,7,486
Forked-daapd,AFLNET,3,8,513
Forked-daapd,AFLNET,3,9,541
Forked-daapd,AFLNET,3,10,552
Forked-daapd,AFLNET,3,11,562
Forked-daapd,AFLNET,3,12,562
Forked-daapd,AFLNET,3,13,562
Forked-daapd,AFLNET,3,14,578
Forked-daapd,AFLNET,3,15,597
Forked-daapd,AFLNET,3,16,601
Forked-daapd,AFLNET,3,17,615
Forked-daapd,AFLNET,3,18,623
Forked-daapd,AFLNET,3,19,623
Forked-daapd,AFLNET,3,20,629
Forked-daapd,AFLNET,3,21,647
Forked-daapd,AFLNET,3,22,649
Forked-daapd,AFLNET,3,23,667
Forked-daapd,AFLNET,3,24,667
Forked-daapd,AFLNET,4,0,8
Forked-daapd,AFLNET,4,1,138
Forked-daapd,AFLNET,4,2,234
Forked-daapd,AFLNET,4,3,312
Forked-daapd,AFLNET,4,4,352
Forked-daapd,AFLNET,4,5,397
Forked-daapd,AFLNET,4,6,438
Forked-daapd,AFLNET,4,7,482
Forked-daapd,AFLNET,4,8,501
Forked-daapd,AFLNET,4,9,512
Forked-daapd,AFLNET,4,10,522
Forked-daapd,AFLNET,4,11,543
Forked-daapd,AFLNET,4,12,557
Forked-daapd,AFLNET,4,13,560
Forked-daapd,AFLNET,4,14,572
Forked-daapd,AFLNET,4,15,579
Forked-daapd,AFLNET,4,16,593
Forked-daapd,AFLNET,4,17,593
Forked-daapd,AFLNET,4,18,594
Forked-daapd,AFLNET,4,19,594
Forked-daapd,AFLNET,4,20,594
Forked-daapd,AFLNET,4,21,599
Forked-daapd,AFLNET,4,22,604
Forked-daapd,AFLNET,4,23,606
Forked-daapd,AFLNET,4,24,606
Forked-daapd,AFLNET,5,0,0
Forked-daapd,AFLNET,5,1,125
Forked-daapd,AFLNET,5,2,221
Forked-daapd,AFLNET,5,3,289
Forked-daapd,AFLNET,5,4,348
Forked-daapd,AFLNET,5,5,399
Forked-daapd,AFLNET,5,6,455
Forked-daapd,AFLNET,5,7,486
Forked-daapd,AFLNET,5,8,513
Forked-daapd,AFLNET,5,9,531
Forked-daapd,AFLNET,5,10,531
Forked-daapd,AFLNET,5,11,543
Forked-daapd,AFLNET,5,12,554
Forked-daapd,AFLNET,5,13,587
Forked-daapd,AFLNET,5,14,592
Forked-daapd,AFLNET,5,15,600
Forked-daapd,AFLNET,5,16,605
Forked-daapd,AFLNET,5,17,605
Forked-daapd,AFLNET,5,18,620
Forked-daapd,AFLNET,5,19,631
Forked-daapd,AFLNET,5,20,642
Forked-daapd,AFLNET,5,21,642
Forked-daapd,AFLNET,5,22,658
Forked-daapd,AFLNET,5,23,658
Forked-daapd,AFLNET,5,24,666
Forked-daapd,AFLNET,6,0,22
Forked-daapd,AFLNET,6,1,141
Forked-daapd,AFLNET,6,2,235
Forked-daapd,AFLNET,6,3,312
Forked-daapd,AFLNET,6,4,367
Forked-daapd,AFLNET,6,5,399
Forked-daapd,AFLNET,6,6,437
Forked-daapd,AFLNET,6,7,456
Forked-daapd,AFLNET,6,8,484
Forked-daapd,AFLNET,6,9,494
Forked-daapd,AFLNET,6,10,525
Forked-daapd,AFLNET,6,11,529
Forked-daapd,AFLNET,6,12,536
Forked-daapd,AFLNET,6,13,553
Forked-daapd,AFLNET,6,14,553
Forked-daapd,AFLNET,6,15,561
Forked-daapd,AFLNET,6,16,579
Forked-daapd,AFLNET,6,17,579
Forked-daapd,AFLNET,6,18,584
Forked-daapd,AFLNET,6,19,590
Forked-daapd,AFLNET,6,20,601
Forked-daapd,AFLNET,6,21,601
Forked-daapd,AFLNET,6,22,601
Forked-daapd,AFLNET,6,23,608
Forked-daapd,AFLNET,6,24,613
Forked-daapd,AFLNET,7,0,3
Forked-daapd,AFLNET,7,1,135
Forked-daapd,AFLNET,7,2,227
Forked-daapd,AFLNET,7,3,306
Forked-daapd,AFLNET,7,4,369
Forked-daapd,AFLNET,7,5,409
Forked-daapd,AFLNET,7,6,465
Forked-daapd,AFLNET,7,7,500
Forked-daapd,AFLNET,7,8,511
Forked-daapd,AFLNET,7,9,537
Forked-daapd,AFLNET,7,10,542
Forked-daapd,AFLNET,7,11,563
Forked-daapd,AFLNET,7,12,584
Forked-daapd,AFLNET,7,13,584
Forked-daapd,AFLNET,7,14,601
Forked-daapd,AFLNET,7,15,611
Forked-daapd,AFLNET,7,16,624
Forked-daapd,AFLNET,7,17,647
Forked-daapd,AFLNET,7,18,648
Forked-daapd,AFLNET,7,19,648
Forked-daapd,AFLNET,7,20,648
Forked-daapd,AFLNET,7,21,648
Forked-daapd,AFLNET,7,22,650
Forked-daapd,AFLNET,7,23,656
Forked-daapd,AFLNET,7,24,660
Forked-daapd,AFLNET,8,0,8
Forked-daapd,AFLNET,8,1,138
Forked-daapd,AFLNET,8,2,251
Forked-daapd,AFLNET,8,3,325
Forked-daapd,AFLNET,8,4,413
Forked-daapd,AFLNET,8,5,466
Forked-daapd,AFLNET,8,6,495
Forked-daapd,AFLNET,8,7,514
Forked-daapd,AFLNET,8,8,542
Forked-daapd,AFLNET,8,9,559
Forked-daapd,AFLNET,8,10,581
Forked-daapd,AFLNET,8,11,598
Forked-daapd,AFLNET,8,12,607
Forked-daapd,AFLNET,8,13,607
Forked-daapd,AFLNET,8,14,607
Forked-daapd,AFLNET,8,15,609
Forked-daapd,AFLNET,8,16,622
Forked-daapd,AFLNET,8,17,629
Forked-daapd,AFLNET,8,18,629
Forked-daapd,AFLNET,8,19,634
Forked-daapd,AFLNET,8,20,640
Forked-daapd,AFLNET,8,21,640
Forked-daapd,AFLNET,8,22,644
Forked-daapd,AFLNET,8,23,647
Forked-daapd,AFLNET,8,24,647
Forked-daapd,AFLNET,9,0,4
Forked-daapd,AFLNET,9,1,139
Forked-daapd,AFLNET,9,2,248
Forked-daapd,AFLNET,9,3,336
Forked-daapd,AFLNET,9,4,382
Forked-daapd,AFLNET,9,5,420
Forked-daapd,AFLNET,9,6,462
Forked-daapd,AFLNET,9,7,497
Forked-daapd,AFLNET,9,8,525
Forked-daapd,AFLNET,9,9,583
Forked-daapd,AFLNET,9,10,604
Forked-daapd,AFLNET,9,11,628
Forked-daapd,AFLNET,9,12,647
Forked-daapd,AFLNET,9,13,662
Forked-daapd,AFLNET,9,14,666
Forked-daapd,AFLNET,9,15,679
Forked-daapd,AFLNET,9,16,679
Forked-daapd,AFLNET,9,17,681
Forked-daapd,AFLNET,9,18,681
Forked-daapd,AFLNET,9,19,685
Forked-daapd,AFLNET,9,20,711
Forked-daapd,AFLNET,9,21,711
Forked-daapd,AFLNET,9,22,720
Forked-daapd,AFLNET,9,23,720
Forked-daapd,AFLNET,9,24,720
Forked-daapd,AFLNET,10,0,11
Forked-daapd,AFLNET,10,1,141
Forked-daapd,AFLNET,10,2,229
Forked-daapd,AFLNET,10,3,299
Forked-daapd,AFLNET,10,4,365
Forked-daapd,AFLNET,10,5,405
Forked-daapd,AFLNET,10,6,445
Forked-daapd,AFLNET,10,7,475
Forked-daapd,AFLNET,10,8,492
Forked-daapd,AFLNET,10,9,532
Forked-daapd,AFLNET,10,10,554
Forked-daapd,AFLNET,10,11,554
Forked-daapd,AFLNET,10,12,566
Forked-daapd,AFLNET,10,13,567
Forked-daapd,AFLNET,10,14,583
Forked-daapd,AFLNET,10,15,583
Forked-daapd,AFLNET,10,16,587
Forked-daapd,AFLNET,10,17,596
Forked-daapd,AFLNET,10,18,608
Forked-daapd,AFLNET,10,19,608
Forked-daapd,AFLNET,10,20,608
Forked-daapd,AFLNET,10,21,608
Forked-daapd,AFLNET,10,22,608
Forked-daapd,AFLNET,10,23,628
Forked-daapd,AFLNET,10,24,634
Forked-daapd,AFLNWE,1,0,0
Forked-daapd,AFLNWE,1,1,19
Forked-daapd,AFLNWE,1,2,47
Forked-daapd,AFLNWE,1,3,65
Forked-daapd,AFLNWE,1,4,65
Forked-daapd,AFLNWE,1,5,69
Forked-daapd,AFLNWE,1,6,86
Forked-daapd,AFLNWE,1,7,87
Forked-daapd,AFLNWE,1,8,97
Forked-daapd,AFLNWE,1,9,109
Forked-daapd,AFLNWE,1,10,109
Forked-daapd,AFLNWE,1,11,113
Forked-daapd,AFLNWE,1,12,113
Forked-daapd,AFLNWE,1,13,113
Forked-daapd,AFLNWE,1,14,115
Forked-daapd,AFLNWE,1,15,115
Forked-daapd,AFLNWE,1,16,131
Forked-daapd,AFLNWE,1,17,131
Forked-daapd,AFLNWE,1,18,131
Forked-daapd,AFLNWE,1,19,135
Forked-daapd,AFLNWE,1,20,149
Forked-daapd,AFLNWE,1,21,149
Forked-daapd,AFLNWE,1,22,161
Forked-daapd,AFLNWE,1,23,163
Forked-daapd,AFLNWE,1,24,163
Forked-daapd,AFLNWE,2,0,4
Forked-daapd,AFLNWE,2,1,17
Forked-daapd,AFLNWE,2,2,23
Forked-daapd,AFLNWE,2,3,33
Forked-daapd,AFLNWE,2,4,39
Forked-daapd,AFLNWE,2,5,48
Forked-daapd,AFLNWE,2,6,60
Forked-daapd,AFLNWE,2,7,80
Forked-daapd,AFLNWE,2,8,80
Forked-daapd,AFLNWE,2,9,102
Forked-daapd,AFLNWE,2,10,102
Forked-daapd,AFLNWE,2,11,106
Forked-daapd,AFLNWE,2,12,115
Forked-daapd,AFLNWE,2,13,122
Forked-daapd,AFLNWE,2,14,122
Forked-daapd,AFLNWE,2,15,124
Forked-daapd,AFLNWE,2,16,124
Forked-daapd,AFLNWE,2,17,124
Forked-daapd,AFLNWE,2,18,133
Forked-daapd,AFLNWE,2,19,139
Forked-daapd,AFLNWE,2,20,139
Forked-daapd,AFLNWE,2,21,148
Forked-daapd,AFLNWE,2,22,153
Forked-daapd,AFLNWE,2,23,161
Forked-daapd,AFLNWE,2,24,168
Forked-daapd,AFLNWE,3,0,0
Forked-daapd,AFLNWE,3,1,7
Forked-daapd,AFLNWE,3,2,24
Forked-daapd,AFLNWE,3,3,38
Forked-daapd,AFLNWE,3,4,47
Forked-daapd,AFLNWE,3,5,56
Forked-daapd,AFLNWE,3,6,73
Forked-daapd,AFLNWE,3,7,75
Forked-daapd,AFLNWE,3,8,86
Forked-daapd,AFLNWE,3,9,90
Forked-daapd,AFLNWE,3,10,94
Forked-daapd,AFLNWE,3,11,107
Forked-daapd,AFLNWE,3,12,118
Forked-daapd,AFLNWE,3,13,129
Forked-daapd,AFLNWE,3,14,143
Forked-daapd,AFLNWE,3,15,147
Forked-daapd,AFLNWE,3,16,156
Forked-daapd,AFLNWE,3,17,156
Forked-daapd,AFLNWE,3,18,162
Forked-daapd,AFLNWE,3,19,163
Forked-daapd,AFLNWE,3,20,167
Forked-daapd,AFLNWE,3,21,174
Forked-daapd,AFLNWE,3,22,174
Forked-daapd,AFLNWE,3,23,192
Forked-daapd,AFLNWE,3,24,192
Forked-daapd,AFLNWE,4,0,0
Forked-daapd,AFLNWE,4,1,21
Forked-daapd,AFLNWE,4,2,38
Forked-daapd,AFLNWE,4,3,53
Forked-daapd,AFLNWE,4,4,66
Forked-daapd,AFLNWE,4,5,74
Forked-daapd,AFLNWE,4,6,74
Forked-daapd,AFLNWE,4,7,82
Forked-daapd,AFLNWE,4,8,82
Forked-daapd,AFLNWE,4,9,96
Forked-daapd,AFLNWE,4,10,100
Forked-daapd,AFLNWE,4,11,100
Forked-daapd,AFLNWE,4,12,102
Forked-daapd,AFLNWE,4,13,109
Forked-daapd,AFLNWE,4,14,109
Forked-daapd,AFLNWE,4,15,109
Forked-daapd,AFLNWE,4,16,115
Forked-daapd,AFLNWE,4,17,120
Forked-daapd,AFLNWE,4,18,120
Forked-daapd,AFLNWE,4,19,120
Forked-daapd,AFLNWE,4,20,124
Forked-daapd,AFLNWE,4,21,124
Forked-daapd,AFLNWE,4,22,124
Forked-daapd,AFLNWE,4,23,124
Forked-daapd,AFLNWE,4,24,124
Forked-daapd,AFLNWE,5,0,2
Forked-daapd,AFLNWE,5,1,26
Forked-daapd,AFLNWE,5,2,44
Forked-daapd,AFLNWE,5,3,52
Forked-daapd,AFLNWE,5,4,60
Forked-daapd,AFLNWE,5,5,60
Forked-daapd,AFLNWE,5,6,68
Forked-daapd,AFLNWE,5,7,72
Forked-daapd,AFLNWE,5,8,81
Forked-daapd,AFLNWE,5,9,81
Forked-daapd,AFLNWE,5,10,90
Forked-daapd,AFLNWE,5,11,107
Forked-daapd,AFLNWE,5,12,111
Forked-daapd,AFLNWE,5,13,118
Forked-daapd,AFLNWE,5,14,128
Forked-daapd,AFLNWE,5,15,128
Forked-daapd,AFLNWE,5,16,133
Forked-daapd,AFLNWE,5,17,136
Forked-daapd,AFLNWE,5,18,140
Forked-daapd,AFLNWE,5,19,140
Forked-daapd,AFLNWE,5,20,143
Forked-daapd,AFLNWE,5,21,149
Forked-daapd,AFLNWE,5,22,163
Forked-daapd,AFLNWE,5,23,172
Forked-daapd,AFLNWE,5,24,191
Forked-daapd,AFLNWE,6,0,0
Forked-daapd,AFLNWE,6,1,19
Forked-daapd,AFLNWE,6,2,31
Forked-daapd,AFLNWE,6,3,58
Forked-daapd,AFLNWE,6,4,60
Forked-daapd,AFLNWE,6,5,62
Forked-daapd,AFLNWE,6,6,64
Forked-daapd,AFLNWE,6,7,64
Forked-daapd,AFLNWE,6,8,66
Forked-daapd,AFLNWE,6,9,66
Forked-daapd,AFLNWE,6,10,72
Forked-daapd,AFLNWE,6,11,80
Forked-daapd,AFLNWE,6,12,100
Forked-daapd,AFLNWE,6,13,111
Forked-daapd,AFLNWE,6,14,111
Forked-daapd,AFLNWE,6,15,111
Forked-daapd,AFLNWE,6,16,119
Forked-daapd,AFLNWE,6,17,119
Forked-daapd,AFLNWE,6,18,136
Forked-daapd,AFLNWE,6,19,148
Forked-daapd,AFLNWE,6,20,148
Forked-daapd,AFLNWE,6,21,148
Forked-daapd,AFLNWE,6,22,161
Forked-daapd,AFLNWE,6,23,162
Forked-daapd,AFLNWE,6,24,174
Forked-daapd,AFLNWE,7,0,0
Forked-daapd,AFLNWE,7,1,7
Forked-daapd,AFLNWE,7,2,18
Forked-daapd,AFLNWE,7,3,28
Forked-daapd,AFLNWE,7,4,33
Forked-daapd,AFLNWE,7,5,46
Forked-daapd,AFLNWE,7,6,46
Forked-daapd,AFLNWE,7,7,51
Forked-daapd,AFLNWE,7,8,58
Forked-daapd,AFLNWE,7,9,68
Forked-daapd,AFLNWE,7,10,79
Forked-daapd,AFLNWE,7,11,79
Forked-daapd,AFLNWE,7,12,79
Forked-daapd,AFLNWE,7,13,94
Forked-daapd,AFLNWE,7,14,100
Forked-daapd,AFLNWE,7,15,100
Forked-daapd,AFLNWE,7,16,116
Forked-daapd,AFLNWE,7,17,120
Forked-daapd,AFLNWE,7,18,132
Forked-daapd,AFLNWE,7,19,135
Forked-daapd,AFLNWE,7,20,154
Forked-daapd,AFLNWE,7,21,171
Forked-daapd,AFLNWE,7,22,171
Forked-daapd,AFLNWE,7,23,180
Forked-daapd,AFLNWE,7,24,187
Forked-daapd,AFLNWE,8,0,11
Forked-daapd,AFLNWE,8,1,15
Forked-daapd,AFLNWE,8,2,31
Forked-daapd,AFLNWE,8,3,49
Forked-daapd,AFLNWE,8,4,49
Forked-daapd,AFLNWE,8,5,49
Forked-daapd,AFLNWE,8,6,49
Forked-daapd,AFLNWE,8,7,54
Forked-daapd,AFLNWE,8,8,66
Forked-daapd,AFLNWE,8,9,83
Forked-daapd,AFLNWE,8,10,89
Forked-daapd,AFLNWE,8,11,107
Forked-daapd,AFLNWE,8,12,107
Forked-daapd,AFLNWE,8,13,107
Forked-daapd,AFLNWE,8,14,111
Forked-daapd,AFLNWE,8,15,117
Forked-daapd,AFLNWE,8,16,120
Forked-daapd,AFLNWE,8,17,120
Forked-daapd,AFLNWE,8,18,122
Forked-daapd,AFLNWE,8,19,122
Forked-daapd,AFLNWE,8,20,130
Forked-daapd,AFLNWE,8,21,135
Forked-daapd,AFLNWE,8,22,135
Forked-daapd,AFLNWE,8,23,135
Forked-daapd,AFLNWE,8,24,135
Forked-daapd,AFLNWE,9,0,0
Forked-daapd,AFLNWE,9,1,19
Forked-daapd,AFLNWE,9,2,22
Forked-daapd,AFLNWE,9,3,36
Forked-daapd,AFLNWE,9,4,40
Forked-daapd,AFLNWE,9,5,42
Forked-daapd,AFLNWE,9,6,48
Forked-daapd,AFLNWE,9,7,48
Forked-daapd,AFLNWE,9,8,50
Forked-daapd,AFLNWE,9,9,50
Forked-daapd,AFLNWE,9,10,71
Forked-daapd,AFLNWE,9,11,76
Forked-daapd,AFLNWE,9,12,76
Forked-daapd,AFLNWE,9,13,82
Forked-daapd,AFLNWE,9,14,85
Forked-daapd,AFLNWE,9,15,87
Forked-daapd,AFLNWE,9,16,95
Forked-daapd,AFLNWE,9,17,104
Forked-daapd,AFLNWE,9,18,104
Forked-daapd,AFLNWE,9,19,104
Forked-daapd,AFLNWE,9,20,105
Forked-daapd,AFLNWE,9,21,105
Forked-daapd,AFLNWE,9,22,105
